imdb_rank,movie_title,year,genre,rating
1,The Shawshank Redemption,1994,Drama,9.3
2,The Godfather,1972,"Crime, Drama",9.2
3,The Dark Knight,2008,"Action, Crime, Drama",9.0
4,Schindler's List,1993,"Biography, Drama, History",9.0
5,The Godfather Part II,1974,"Crime, Drama",9.0
6,12 Angry Men,1957,"Crime, Drama",9.0
7,The Lord of the Rings: The Return of the King,2003,"Action, Adventure, Drama",9.0
8,Pulp Fiction,1994,"Crime, Drama",8.9
9,Inception,2010,"Action, Adventure, Sci-Fi",8.8
10,The Lord of the Rings: The Fellowship of the Ring,2001,"Action, Adventure, Drama",8.8
11,Fight Club,1999,Drama,8.8
12,Forrest Gump,1994,"Drama, Romance",8.8
13,"The Good, the Bad and the Ugly",1966,"Adventure, Western",8.8
14,The Lord of the Rings: The Two Towers,2002,"Action, Adventure, Drama",8.8
15,Jai Bhim,2021,"Crime, Drama, Mystery",8.8
16,Goodfellas,1990,"Biography, Crime, Drama",8.7
17,The Matrix,1999,"Action, Sci-Fi",8.7
18,One Flew Over the Cuckoo's Nest,1975,Drama,8.7
19,Star Wars: Episode V - The Empire Strikes Back,1980,"Action, Adventure, Fantasy",8.7
20,Interstellar,2014,"Adventure, Drama, Sci-Fi",8.6
21,The Green Mile,1999,"Crime, Drama, Fantasy",8.6
22,Star Wars: Episode IV - A New Hope,1977,"Action, Adventure, Fantasy",8.6
23,Se7en,1995,"Crime, Drama, Mystery",8.6
24,The Silence of the Lambs,1991,"Crime, Drama, Thriller",8.6
25,Saving Private Ryan,1998,"Drama, War",8.6
26,Spirited Away,2001,"Animation, Adventure, Family",8.6
27,City of God,2002,"Crime, Drama",8.6
28,Terminator 2: Judgment Day,1991,"Action, Sci-Fi",8.6
29,Life Is Beautiful,1997,"Comedy, Drama, Romance",8.6
30,Seven Samurai,1954,"Action, Drama",8.6
31,It's a Wonderful Life,1946,"Drama, Family, Fantasy",8.6
32,Harakiri,1962,"Action, Drama, Mystery",8.6
33,Léon: The Professional,1994,"Action, Crime, Drama",8.5
34,Parasite,2019,"Drama, Thriller",8.5
35,The Departed,2006,"Crime, Drama, Thriller",8.5
36,Gladiator,2000,"Action, Adventure, Drama",8.5
37,Whiplash,2014,"Drama, Music",8.5
38,Back to the Future,1985,"Adventure, Comedy, Sci-Fi",8.5
39,Alien,1979,"Horror, Sci-Fi",8.5
40,The Prestige,2006,"Drama, Mystery, Sci-Fi",8.5
